Date, Open, High, Low, Close
05/13/20, 0.135, 0.140, 0.109, 0.130
05/12/20, 0.140, 0.147, 0.107, 0.132
05/11/20, 0.119, 0.130, 0.104, 0.128
05/08/20, 0.114, 0.127, 0.102, 0.119
05/07/20, 0.130, 0.130, 0.092, 0.112
05/06/20, 0.130, 0.140, 0.099, 0.130
05/05/20, 0.109, 0.140, 0.091, 0.125
05/04/20, 0.107, 0.130, 0.097, 0.109
05/01/20, 0.094, 0.117, 0.094, 0.107
04/30/20, 0.107, 0.122, 0.084, 0.107
04/29/20, 0.114, 0.135, 0.076, 0.102
04/28/20, 0.127, 0.127, 0.084, 0.114
04/27/20, 0.119, 0.140, 0.104, 0.127
04/24/20, 0.127, 0.140, 0.084, 0.119
04/23/20, 0.107, 0.135, 0.074, 0.114
04/22/20, 0.107, 0.135, 0.066, 0.112
04/21/20, 0.122, 0.130, 0.079, 0.107
04/20/20, 0.130, 0.135, 0.080, 0.113
04/17/20, 0.145, 0.153, 0.104, 0.122
04/16/20, 0.163, 0.165, 0.119, 0.138
04/15/20, 0.203, 0.203, 0.114, 0.147
04/14/20, 0.265, 0.270, 0.153, 0.180
04/13/20, 0.231, 0.298, 0.220, 0.244
04/09/20, 0.211, 0.254, 0.132, 0.231
04/08/20, 0.140, 0.224, 0.099, 0.196
04/07/20, 0.099, 0.168, 0.081, 0.155
04/06/20, 0.097, 0.127, 0.074, 0.102
04/03/20, 0.086, 0.107, 0.023, 0.097
04/02/20, 0.094, 0.107, 0.036, 0.086
04/01/20, 0.102, 0.130, 0.043, 0.079
03/31/20, 0.053, 0.135, 0.028, 0.130
03/30/20, 0.003, 0.076, -0.046, 0.071
03/27/20, -0.056, 0.028, -0.076, 0.003
03/26/20, -0.028, -0.005, -0.069, -0.048
03/25/20, 0.015, 0.015, -0.051, -0.005
03/24/20, 0.008, 0.030, -0.018, 0.015
03/23/20, 0.033, 0.036, 0.003, 0.005
03/20/20, 0.051, 0.053, 0.010, 0.033
03/19/20, 0.013, 0.066, -0.008, 0.036
03/18/20, 0.188, 0.188, -0.008, 0.020
03/17/20, 0.257, 0.257, 0.142, 0.186
03/16/20, 0.277, 0.277, 0.112, 0.239
03/13/20, 0.298, 0.343, 0.255, 0.277
03/12/20, 0.402, 0.438, 0.212, 0.333
03/11/20, 0.433, 0.456, 0.383, 0.417
03/10/20, 0.394, 0.458, 0.340, 0.456
03/09/20, 0.471, 0.486, 0.235, 0.374
03/06/20, 0.624, 0.647, 0.400, 0.471
03/05/20, 0.728, 0.728, 0.610, 0.624
03/04/20, 0.935, 0.948, 0.695, 0.728
03/03/20, 1.196, 1.206, 0.915, 0.935
03/02/20, 1.295, 1.295, 1.134, 1.198
02/28/20, 1.439, 1.451, 1.264, 1.295
02/27/20, 1.518, 1.526, 1.413, 1.526
02/26/20, 1.533, 1.546, 1.505, 1.518
02/25/20, 1.544, 1.549, 1.490, 1.502
02/24/20, 1.554, 1.561, 1.500, 1.512
02/21/20, 1.579, 1.582, 1.518, 1.554
02/20/20, 1.587, 1.595, 1.538, 1.579
02/19/20, 1.582, 1.597, 1.572, 1.587
02/18/20, 1.579, 1.589, 1.569, 1.582
02/16/20, 1.579, 1.579, 1.579, 1.579
02/14/20, 1.587, 1.592, 1.571, 1.579
02/13/20, 1.582, 1.595, 1.564, 1.587
02/12/20, 1.577, 1.590, 1.564, 1.582
02/11/20, 1.569, 1.587, 1.562, 1.577
02/10/20, 1.566, 1.571, 1.551, 1.569
02/07/20, 1.567, 1.577, 1.556, 1.566
02/06/20, 1.567, 1.579, 1.554, 1.567
02/05/20, 1.572, 1.582, 1.554, 1.567
02/04/20, 1.569, 1.582, 1.564, 1.572
02/03/20, 1.549, 1.570, 1.544, 1.569
01/31/20, 1.562, 1.570, 1.542, 1.549
01/30/20, 1.562, 1.573, 1.542, 1.562
01/29/20, 1.565, 1.578, 1.542, 1.555
01/28/20, 1.552, 1.575, 1.542, 1.565
01/27/20, 1.533, 1.559, 1.518, 1.552
01/24/20, 1.556, 1.564, 1.528, 1.533
01/23/20, 1.551, 1.564, 1.538, 1.556
01/22/20, 1.554, 1.564, 1.544, 1.551
01/21/20, 1.561, 1.574, 1.538, 1.554
01/20/20, 1.561, 1.561, 1.561, 1.561
01/17/20, 1.554, 1.571, 1.548, 1.561
01/16/20, 1.569, 1.574, 1.546, 1.554
01/15/20, 1.567, 1.582, 1.564, 1.569
01/14/20, 1.551, 1.569, 1.551, 1.567
01/13/20, 1.538, 1.559, 1.536, 1.551
01/10/20, 1.536, 1.546, 1.525, 1.538
01/09/20, 1.541, 1.546, 1.528, 1.536
01/08/20, 1.541, 1.554, 1.526, 1.541
01/07/20, 1.541, 1.554, 1.533, 1.541
01/06/20, 1.520, 1.548, 1.515, 1.541
01/03/20, 1.533, 1.538, 1.500, 1.520
01/02/20, 1.554, 1.559, 1.528, 1.533
12/31/19, 1.569, 1.572, 1.549, 1.554
12/30/19, 1.564, 1.569, 1.536, 1.569
12/27/19, 1.579, 1.582, 1.551, 1.564
12/26/19, 1.577, 1.597, 1.574, 1.579
12/24/19, 1.571, 1.597, 1.571, 1.577
12/23/19, 1.574, 1.589, 1.564, 1.566
12/20/19, 1.572, 1.592, 1.562, 1.574
12/19/19, 1.564, 1.592, 1.556, 1.572
12/18/19, 1.569, 1.587, 1.556, 1.564
12/17/19, 1.569, 1.585, 1.556, 1.569
12/16/19, 1.566, 1.584, 1.556, 1.569
12/13/19, 1.556, 1.569, 1.541, 1.566
12/12/19, 1.562, 1.585, 1.551, 1.556
12/11/19, 1.559, 1.582, 1.549, 1.562
12/10/19, 1.544, 1.569, 1.531, 1.559
12/09/19, 1.523, 1.551, 1.518, 1.544
12/06/19, 1.546, 1.546, 1.502, 1.523
12/05/19, 1.554, 1.559, 1.538, 1.546
12/04/19, 1.574, 1.587, 1.546, 1.554
12/03/19, 1.582, 1.590, 1.567, 1.574
12/02/19, 1.588, 1.598, 1.572, 1.582
11/29/19, 1.606, 1.611, 1.580, 1.588
11/27/19, 1.601, 1.631, 1.588, 1.606
11/26/19, 1.588, 1.642, 1.568, 1.601
11/25/19, 1.587, 1.612, 1.577, 1.588
11/22/19, 1.574, 1.589, 1.564, 1.587
11/21/19, 1.569, 1.582, 1.562, 1.574
11/20/19, 1.567, 1.582, 1.556, 1.569
11/19/19, 1.561, 1.585, 1.556, 1.567
